Date,Franchise,City,Product,Sales,Profit
01-Jan-21,M1,Mumbai,Amaretto,219,94
01-Feb-21,M1,Mumbai,Amaretto,140,34
01-Mar-21,M1,Mumbai,Amaretto,145,-2
01-Apr-21,M1,Mumbai,Amaretto,45,11
01-May-21,M1,Mumbai,Amaretto,120,13
01-Jun-21,M1,Mumbai,Amaretto,93,20
01-Jul-21,M1,Mumbai,Amaretto,150,1
01-Aug-21,M1,Mumbai,Amaretto,170,47
01-Sep-21,M1,Mumbai,Amaretto,243,105
01-Oct-21,M1,Mumbai,Amaretto,140,33
01-Nov-21,M1,Mumbai,Amaretto,132,-27
01-Dec-21,M1,Mumbai,Amaretto,45,10
01-Jan-22,M1,Mumbai,Amaretto,118,12
01-Feb-22,M1,Mumbai,Amaretto,101,25
01-Mar-22,M1,Mumbai,Amaretto,129,-4
01-Apr-22,M1,Mumbai,Amaretto,165,46
01-May-22,M1,Mumbai,Amaretto,213,90
01-Jun-22,M1,Mumbai,Amaretto,134,32
01-Jul-22,M1,Mumbai,Amaretto,125,-41
01-Aug-22,M1,Mumbai,Amaretto,45,10
01-Sep-22,M1,Mumbai,Amaretto,120,13
01-Oct-22,M1,Mumbai,Amaretto,107,29
01-Nov-22,M1,Mumbai,Amaretto,125,-3
01-Dec-22,M1,Mumbai,Amaretto,163,45
01-Jan-23,M1,Mumbai,Amaretto,223,96
01-Feb-23,M1,Mumbai,Amaretto,129,28
01-Mar-23,M1,Mumbai,Amaretto,110,-76
01-Apr-23,M1,Mumbai,Amaretto,47,11
01-May-23,M1,Mumbai,Amaretto,127,16
01-Jun-23,M1,Mumbai,Amaretto,121,33
01-Jul-23,M1,Mumbai,Amaretto,125,-3
01-Aug-23,M1,Mumbai,Amaretto,167,47
01-Sep-23,M1,Mumbai,Amaretto,256,111
01-Oct-23,M1,Mumbai,Amaretto,123,27
01-Nov-23,M1,Mumbai,Amaretto,106,-84
01-Dec-23,M1,Mumbai,Amaretto,49,12
01-Jan-24,M1,Mumbai,Amaretto,130,17
01-Feb-24,M1,Mumbai,Amaretto,125,35
01-Mar-24,M1,Mumbai,Amaretto,128,-2
01-Apr-24,M1,Mumbai,Amaretto,148,38
01-May-24,M1,Mumbai,Amaretto,276,121
01-Jun-24,M1,Mumbai,Amaretto,118,24
01-Jul-24,M1,Mumbai,Amaretto,96,-113
01-Aug-24,M1,Mumbai,Amaretto,58,18
